date,day_week,close,open,high,low,adj_close,var_day,volume
1980-01-02,3,105.76,0.0,108.43,105.29,105.76,,40610000
1980-01-03,4,105.22,0.0,106.08,103.26,105.22,-0.51,50480000
1980-01-04,5,106.52,0.0,107.08,105.09,106.52,1.22,39130000
1980-01-07,1,106.81,0.0,107.8,105.8,106.81,0.27,44500000
1980-01-08,2,108.95,0.0,109.29,106.29,108.95,1.96,53390000
1980-01-09,3,109.05,0.0,111.09,108.41,109.05,0.09,65260000
1980-01-10,4,109.89,0.0,110.86,108.47,109.89,0.76,55980000
1980-01-11,5,109.92,0.0,111.16,108.89,109.92,0.03,52890000
1980-01-14,1,110.38,0.0,111.44,109.34,110.38,0.42,52930000
1980-01-15,2,111.14,0.0,111.93,109.45,111.14,0.68,52320000
1980-01-16,3,111.05,0.0,112.9,110.38,111.05,-0.08,67700000
1980-01-17,4,110.7,0.0,112.01,109.81,110.7,-0.32,54170000
1980-01-18,5,111.07,0.0,111.74,109.88,111.07,0.33,47150000
1980-01-21,1,112.1,0.0,112.9,110.66,112.1,0.92,48040000
1980-01-22,2,111.51,0.0,113.1,110.92,111.51,-0.53,50620000
1980-01-23,3,113.44,0.0,113.93,110.93,113.44,1.7,50730000
1980-01-24,4,113.7,0.0,115.27,112.95,113.7,0.23,59070000
1980-01-25,5,113.61,0.0,114.45,112.36,113.61,-0.08,47100000
1980-01-28,1,114.85,0.0,115.65,112.93,114.85,1.08,53620000
1980-01-29,2,114.07,0.0,115.77,113.03,114.07,-0.68,55480000
1980-01-30,3,115.2,0.0,115.85,113.37,115.2,0.98,51170000
1980-01-31,4,114.16,0.0,117.17,113.78,114.16,-0.91,65900000
1980-02-01,5,115.12,0.0,115.54,113.13,115.12,0.83,46610000
1980-02-04,1,114.37,0.0,116.01,113.83,114.37,-0.66,43070000
1980-02-05,2,114.66,0.0,115.25,112.15,114.66,0.25,41880000
1980-02-06,3,115.72,0.0,116.57,113.65,115.72,0.92,51950000
1980-02-07,4,116.28,0.0,117.87,115.22,116.28,0.48,57690000
1980-02-08,5,117.95,0.0,118.66,115.72,117.95,1.42,57860000
1980-02-11,1,117.12,0.0,119.05,116.31,117.12,-0.71,58660000
1980-02-12,2,117.9,0.0,118.41,115.75,117.9,0.66,48090000
1980-02-13,3,118.44,0.0,120.22,117.57,118.44,0.46,65230000
1980-02-14,4,116.72,0.0,119.3,116.04,116.72,-1.47,50540000
1980-02-15,5,115.41,0.0,116.7,114.12,115.41,-1.14,46680000
1980-02-19,2,114.6,0.0,115.67,113.35,114.6,-0.71,39480000
1980-02-20,3,116.47,0.0,117.18,114.06,116.47,1.61,44340000
1980-02-21,4,115.28,0.0,117.9,114.44,115.28,-1.03,51530000
1980-02-22,5,115.04,0.0,116.46,113.43,115.04,-0.21,48210000
1980-02-25,1,113.33,0.0,114.93,112.62,113.33,-1.51,39140000
1980-02-26,2,113.98,0.0,114.76,112.3,113.98,0.57,40000000
1980-02-27,3,112.38,0.0,115.12,111.91,112.38,-1.42,46430000
1980-02-28,4,112.35,0.0,113.7,111.33,112.35,-0.03,40330000
1980-02-29,5,113.66,0.0,114.12,111.77,113.66,1.15,38810000
1980-03-03,1,112.5,0.0,114.34,112.01,112.5,-1.03,38690000
1980-03-04,2,112.78,0.0,113.41,110.83,112.78,0.25,44310000
1980-03-05,3,111.13,0.0,113.94,110.58,111.13,-1.48,49240000
1980-03-06,4,108.65,0.0,111.29,107.85,108.65,-2.28,49610000
1980-03-07,5,106.9,0.0,108.96,105.99,106.9,-1.64,50950000
1980-03-10,1,106.51,0.0,107.86,104.92,106.51,-0.37,43750000
1980-03-11,2,107.78,0.0,108.54,106.18,107.78,1.18,41350000
1980-03-12,3,106.87,0.0,108.4,105.42,106.87,-0.85,37990000
1980-03-13,4,105.62,0.0,107.55,105.1,105.62,-1.18,33070000
1980-03-14,5,105.43,0.0,106.49,104.01,105.43,-0.18,35180000
1980-03-17,1,102.26,0.0,105.23,101.82,102.26,-3.1,37020000
1980-03-18,2,104.1,0.0,104.71,101.14,104.1,1.77,47340000
1980-03-19,3,104.31,0.0,105.72,103.35,104.31,0.2,36520000
1980-03-20,4,103.12,0.0,105.17,102.52,103.12,-1.15,32580000
1980-03-21,5,102.31,0.0,103.73,101.55,102.31,-0.79,32220000
1980-03-24,1,99.28,0.0,102.18,98.88,99.28,-3.05,39230000
1980-03-25,2,99.19,0.0,100.58,97.89,99.19,-0.09,43790000
1980-03-26,3,98.68,0.0,101.22,98.1,98.68,-0.52,37370000
1980-03-27,4,98.22,0.0,99.58,94.23,98.22,-0.47,63680000
1980-03-28,5,100.68,0.0,101.43,97.72,100.68,2.44,46720000
1980-03-31,1,102.09,0.0,102.65,100.02,102.09,1.38,35840000
1980-04-01,2,102.18,0.0,103.28,100.85,102.18,0.09,32230000
1980-04-02,3,102.68,0.0,103.87,101.45,102.68,0.49,35210000
1980-04-03,4,102.15,0.0,103.34,101.31,102.15,-0.52,27970000
1980-04-07,1,100.19,0.0,102.27,99.73,100.19,-1.96,29130000
1980-04-08,2,101.2,0.0,101.88,99.23,101.2,1.0,31700000
1980-04-09,3,103.11,0.0,103.6,101.01,103.11,1.85,33020000
1980-04-10,4,104.08,0.0,105.0,102.81,104.08,0.93,33940000
1980-04-11,5,103.79,0.0,105.15,103.2,103.79,-0.28,29960000
1980-04-14,1,102.84,0.0,103.92,102.08,102.84,-0.92,23060000
1980-04-15,2,102.63,0.0,103.94,101.85,102.63,-0.2,26670000
1980-04-16,3,101.54,0.0,104.42,101.13,101.54,-1.07,39730000
1980-04-17,4,101.05,0.0,102.21,100.12,101.05,-0.48,32770000
1980-04-18,5,100.55,0.0,102.07,99.97,100.55,-0.5,26880000
1980-04-21,1,99.8,0.0,101.26,98.95,99.8,-0.75,27560000
1980-04-22,2,103.43,0.0,104.02,100.81,103.43,3.51,47920000
1980-04-23,3,103.73,0.0,105.11,102.81,103.73,0.29,42620000
1980-04-24,4,104.4,0.0,105.43,102.93,104.4,0.64,35790000
1980-04-25,5,105.16,0.0,105.57,103.02,105.16,0.72,28590000
1980-04-28,1,105.64,0.0,106.79,104.64,105.64,0.45,30600000
1980-04-29,2,105.86,0.0,106.7,104.86,105.86,0.21,27940000
1980-04-30,3,106.29,0.0,106.72,104.5,106.29,0.4,30850000
1980-05-01,4,105.46,0.0,106.86,104.72,105.46,-0.79,32480000
1980-05-02,5,105.58,0.0,106.25,104.61,105.58,0.11,28040000
1980-05-05,1,106.38,0.0,106.83,104.64,106.38,0.75,34090000
1980-05-06,2,106.25,0.0,107.83,105.36,106.25,-0.12,40160000
1980-05-07,3,107.18,0.0,108.12,105.83,107.18,0.87,42600000
1980-05-08,4,106.13,0.0,108.02,105.5,106.13,-0.99,39280000
1980-05-09,5,104.72,0.0,106.2,104.18,104.72,-1.35,30280000
1980-05-12,1,104.78,0.0,105.48,103.5,104.78,0.06,28220000
1980-05-13,2,106.3,0.0,106.76,104.44,106.3,1.43,35460000
1980-05-14,3,106.85,0.0,107.89,106.0,106.85,0.51,40840000
1980-05-15,4,106.99,0.0,107.99,106.07,106.99,0.13,41120000
1980-05-16,5,107.35,0.0,107.89,106.25,107.35,0.34,31710000
1980-05-19,1,107.67,0.0,108.43,106.51,107.67,0.3,30970000
1980-05-20,2,107.62,0.0,108.39,106.75,107.62,-0.05,31800000
1980-05-21,3,107.72,0.0,108.31,106.54,107.72,0.09,34830000
1980-05-22,4,109.01,0.0,109.73,107.34,109.01,1.18,41040000
1980-05-23,5,110.62,0.0,111.37,109.01,110.62,1.46,45790000
1980-05-27,2,111.4,0.0,112.3,110.35,111.4,0.7,40810000
1980-05-28,3,112.06,0.0,112.72,110.42,112.06,0.59,38580000
1980-05-29,4,110.27,0.0,112.64,109.86,110.27,-1.62,42000000
1980-05-30,5,111.24,0.0,111.55,108.87,111.24,0.87,34820000
1980-06-02,1,110.76,0.0,112.15,110.06,110.76,-0.43,32710000
1980-06-03,2,110.51,0.0,111.63,109.77,110.51,-0.23,33150000
1980-06-04,3,112.61,0.0,113.45,110.22,112.61,1.86,44180000
1980-06-05,4,112.78,0.0,114.38,111.89,112.78,0.15,49070000
1980-06-06,5,113.2,0.0,114.01,112.11,113.2,0.37,37230000
1980-06-09,1,113.71,0.0,114.51,112.68,113.71,0.45,36820000
1980-06-10,2,114.66,0.0,115.5,113.17,114.66,0.83,42030000
1980-06-11,3,116.02,0.0,116.64,114.22,116.02,1.17,43800000
1980-06-12,4,115.52,0.0,117.01,114.28,115.52,-0.43,47300000
1980-06-13,5,115.81,0.0,116.94,114.67,115.81,0.25,41880000
1980-06-16,1,116.09,0.0,116.8,114.78,116.09,0.24,36190000
1980-06-17,2,116.03,0.0,117.16,115.13,116.03,-0.05,41990000
1980-06-18,3,116.26,0.0,116.84,114.77,116.26,0.2,41960000
1980-06-19,4,114.66,0.0,116.81,114.36,114.66,-1.4,38280000
1980-06-20,5,114.06,0.0,114.9,113.12,114.06,-0.53,36530000
1980-06-23,1,114.51,0.0,115.28,113.35,114.51,0.39,34180000
1980-06-24,2,115.14,0.0,115.75,113.76,115.14,0.55,37730000
1980-06-25,3,116.72,0.0,117.37,115.07,116.72,1.35,46500000
1980-06-26,4,116.19,0.0,117.98,115.58,116.19,-0.46,45110000
1980-06-27,5,116.0,0.0,116.93,115.06,116.0,-0.16,33110000
1980-06-30,1,114.24,0.0,116.04,113.55,114.24,-1.54,29910000
1980-07-01,2,114.93,0.0,115.45,113.54,114.93,0.6,34340000
1980-07-02,3,115.68,0.0,116.44,114.36,115.68,0.65,42950000
1980-07-03,4,117.46,0.0,117.8,115.49,117.46,1.52,47230000
1980-07-07,1,118.29,0.0,118.85,116.96,118.29,0.7,42540000
1980-07-08,2,117.84,0.0,119.11,117.07,117.84,-0.38,45830000
1980-07-09,3,117.98,0.0,119.52,117.1,117.98,0.12,52010000
1980-07-10,4,116.95,0.0,118.57,116.38,116.95,-0.88,43730000
1980-07-11,5,117.84,0.0,118.38,116.29,117.84,0.76,38310000
1980-07-14,1,120.01,0.0,120.37,117.45,120.01,1.81,45500000
1980-07-15,2,119.3,0.0,121.56,118.85,119.3,-0.6,60920000
1980-07-16,3,119.63,0.0,120.87,118.54,119.63,0.28,49140000
1980-07-17,4,121.44,0.0,121.84,119.43,121.44,1.49,48850000
1980-07-18,5,122.04,0.0,123.19,120.88,122.04,0.49,58040000
1980-07-21,1,122.51,0.0,123.15,120.85,122.51,0.38,42750000
1980-07-22,2,122.19,0.0,123.9,121.38,122.19,-0.26,52230000
1980-07-23,3,121.93,0.0,123.26,120.93,121.93,-0.21,45890000
1980-07-24,4,121.79,0.0,122.98,120.83,121.79,-0.11,42420000
1980-07-25,5,120.78,0.0,121.96,119.94,120.78,-0.84,36250000
1980-07-28,1,121.43,0.0,122.02,119.78,121.43,0.54,35330000
1980-07-29,2,122.4,0.0,122.99,120.76,122.4,0.79,44840000
